dataset_id,uuid,type
a998618cc6c1ede5cf8e18f74f19e41d,SNT949.HRSM.865,SN_0141
7ff540f5ef8970c39711abb2ef1eca36,SNT852.MBFQ.742,SN_0137
2a7f1ea133fffbe4b01e91e7f10caf43,SNT765.VJSX.938,SN_0130
e9eed27f049056dc17e6ab2b33b08da8,SNT472.XBQZ.856,SN_0132
ba9e56a7f9be19874510fda420d67f66,SNT684.VLRC.283,SN_0138
56697f79cf243fecb802c2fd840dd063,SNT296.ZSSX.293,SN_0119
df449ea9b4db6de4276a533c12fbe878,SNT378.XSNC.662,SN_0144
b7209c88d34dce9050ee5bf7e440e548,SNT262.DMPK.836,SN_0143
1c480060db68be970eab33d32c80e203,SNT634.CNDC.344,SN_0120
84aca5af69d3a7e5a41fdfe7f1fad2fc,SNT262.DMPK.836,SN_0143
2b79566b10a02ee356531e10eccc6bd0,SNT684.VLRC.283,SN_0138
558e20956db1414f3de7c591844f712e,SNT263.PCQJ.942,SN_0197
90656fc05b2699294573b250e0500f45,SNT296.ZSSX.293,SN_0119
e2e302474c860fd6de0791193931f18b,SNT237.HHFT.695,SN_0196
e97f2a7c0f76277cf5f189f34b762a40,SNT389.MKGS.876,SN_0135
0b477fcd8f10023860d16602d90b50ab,SNT336.TNTN.436,SN_0142
5a4b082dd9a3f6a404646d42cdb9439f,SNT684.VLRC.283,SN_0138
e85a39f6bb1fe445efd9e42822625f45,SNT389.FLMV.956,SN_0140
da7fe503fd828c90c0c4fbbe23e4df4d,SNT782.NFTH.529,SN_0134
7bbfe861dc52415577c3d1f237373b76,SNT472.XBQZ.856,SN_0132
6f7e2b109e46f26ac684cdf4268b753d,SNT472.XBQZ.856,SN_0132
e92deee5ac922237b7dda7f140ed935a,SNT275.HPHX.884,SN_0118
de965fd19fe007e41997188f703b9bd6,SNT389.MKGS.876,SN_0135
9db8f03ef0354bf59c6f5e0c017f5b42,SNT637.VHCL.766,SN_0112
