x,y,combined_info
7135.0,3032.0,Enterocyte_Cell Type
4599.0,8965.0,Enterocyte_Cell Type
3426.0,5743.0,Enterocyte_Cell Type
6085.0,2158.0,Enterocyte_Cell Type
7703.0,4715.0,Enterocyte_Cell Type
7723.0,8740.0,Enterocyte_Cell Type
7385.0,5609.0,Enterocyte_Cell Type
6797.0,3905.0,Enterocyte_Cell Type
7530.0,6251.0,Enterocyte_Cell Type
8444.0,8895.0,Enterocyte_Cell Type
8058.0,5115.0,Enterocyte_Cell Type
8382.0,6090.0,Enterocyte_Cell Type
6440.0,2766.0,Enterocyte_Cell Type
6335.0,3985.0,Enterocyte_Cell Type
8182.0,5328.0,Enterocyte_Cell Type
8659.0,5999.0,Enterocyte_Cell Type
8512.0,5845.0,Enterocyte_Cell Type
1578.0,3008.0,Enterocyte_Cell Type
5724.0,1198.0,Enterocyte_Cell Type
6344.0,3598.0,Enterocyte_Cell Type
5827.0,3646.0,Enterocyte_Cell Type
6716.0,1739.0,Enterocyte_Cell Type
8717.0,6110.0,Enterocyte_Cell Type
962.0,1617.0,Enterocyte_Cell Type
6615.0,3171.0,Enterocyte_Cell Type
7596.0,4132.0,Enterocyte_Cell Type
7426.0,5294.0,Enterocyte_Cell Type
6451.0,335.0,Enterocyte_Cell Type
7207.0,4675.0,Enterocyte_Cell Type
6439.0,3660.0,Enterocyte_Cell Type
6222.0,1761.0,Enterocyte_Cell Type
1679.0,8995.0,Enterocyte_Cell Type
7596.0,8179.0,Enterocyte_Cell Type
2805.0,2375.0,Enterocyte_Cell Type
7343.0,5532.0,Enterocyte_Cell Type
5756.0,674.0,Enterocyte_Cell Type
6009.0,1098.0,Enterocyte_Cell Type
8081.0,7067.0,Enterocyte_Cell Type
7524.0,6041.0,Enterocyte_Cell Type
6153.0,3031.0,Enterocyte_Cell Type
7668.0,6078.0,Enterocyte_Cell Type
7918.0,5972.0,Enterocyte_Cell Type
8564.0,6827.0,Enterocyte_Cell Type
6805.0,2367.0,Enterocyte_Cell Type
5141.0,860.0,Enterocyte_Cell Type
6893.0,4579.0,Enterocyte_Cell Type
8040.0,6841.0,Enterocyte_Cell Type
3020.0,8458.0,Enterocyte_Cell Type
6221.0,3994.0,Enterocyte_Cell Type
6751.0,5773.0,Enterocyte_Cell Type
8328.0,8468.0,Enterocyte_Cell Type
