x,y,combined_info
8155.0,6574.0,Mature Epithelial_Community
6612.0,1249.0,Mature Epithelial_Community
5454.0,2443.0,Plasma Cell Enriched_Community
6250.0,3093.0,CD8+ T Enriched IEL_Community
8345.0,5190.0,Mature Epithelial_Community
5284.0,3805.0,Stroma_Community
8047.0,5525.0,Mature Epithelial_Community
8645.0,8599.0,Mature Epithelial_Community
7132.0,5444.0,Secretory Epithelial_Community
6336.0,1852.0,Mature Epithelial_Community
8161.0,8674.0,Mature Epithelial_Community
6127.0,3028.0,CD8+ T Enriched IEL_Community
6219.0,1648.0,Mature Epithelial_Community
8068.0,7083.0,Mature Epithelial_Community
8433.0,7386.0,Mature Epithelial_Community
7323.0,8192.0,Plasma Cell Enriched_Community
7467.0,2808.0,Mature Epithelial_Community
7979.0,5327.0,Mature Epithelial_Community
7477.0,3154.0,Mature Epithelial_Community
6660.0,1471.0,Mature Epithelial_Community
7491.0,5647.0,Mature Epithelial_Community
6284.0,881.0,Mature Epithelial_Community
6818.0,4627.0,Mature Epithelial_Community
8589.0,7459.0,Mature Epithelial_Community
6148.0,3041.0,CD8+ T Enriched IEL_Community
6542.0,1308.0,Mature Epithelial_Community
6383.0,2705.0,CD8+ T Enriched IEL_Community
8469.0,7928.0,Mature Epithelial_Community
6930.0,5757.0,Plasma Cell Enriched_Community
7747.0,8656.0,Mature Epithelial_Community
6337.0,4654.0,Adaptive Immune Enriched_Community
5819.0,816.0,Mature Epithelial_Community
7927.0,8532.0,Mature Epithelial_Community
8431.0,7485.0,Mature Epithelial_Community
6298.0,3968.0,Plasma Cell Enriched_Community
7761.0,8665.0,Mature Epithelial_Community
7716.0,7500.0,Plasma Cell Enriched_Community
5720.0,976.0,Innate Immune Enriched_Community
6350.0,1833.0,Mature Epithelial_Community
5094.0,600.0,Plasma Cell Enriched_Community
6765.0,768.0,CD66+ Mature Epithelial_Community
6524.0,1314.0,Mature Epithelial_Community
5221.0,544.0,Mature Epithelial_Community
6916.0,2630.0,Mature Epithelial_Community
7012.0,4258.0,Mature Epithelial_Community
6534.0,3355.0,Mature Epithelial_Community
7266.0,3338.0,Mature Epithelial_Community
8135.0,7990.0,CD8+ T Enriched IEL_Community
4886.0,267.0,Plasma Cell Enriched_Community
4971.0,129.0,Plasma Cell Enriched_Community
8428.0,5821.0,Mature Epithelial_Community
7113.0,3018.0,Mature Epithelial_Community
7273.0,5211.0,CD8+ T Enriched IEL_Community
8143.0,5164.0,Mature Epithelial_Community
8003.0,7851.0,Mature Epithelial_Community
3203.0,7964.0,Stroma_Community
7093.0,3295.0,Mature Epithelial_Community
7626.0,3700.0,Mature Epithelial_Community
6354.0,4338.0,Plasma Cell Enriched_Community
8053.0,7990.0,CD8+ T Enriched IEL_Community
6356.0,1819.0,Mature Epithelial_Community
7077.0,4620.0,CD8+ T Enriched IEL_Community
6548.0,3315.0,Mature Epithelial_Community
7920.0,5695.0,CD8+ T Enriched IEL_Community
7690.0,5052.0,Mature Epithelial_Community
7732.0,6947.0,CD8+ T Enriched IEL_Community
8049.0,5801.0,Mature Epithelial_Community
7168.0,4636.0,Mature Epithelial_Community
6566.0,2514.0,Mature Epithelial_Community
5986.0,1987.0,Innate Immune Enriched_Community
5729.0,173.0,Mature Epithelial_Community
8229.0,4602.0,Mature Epithelial_Community
5909.0,100.0,Mature Epithelial_Community
2773.0,6038.0,Stroma_Community
8006.0,6457.0,Mature Epithelial_Community
8124.0,8158.0,Mature Epithelial_Community
7690.0,6481.0,Mature Epithelial_Community
8578.0,8605.0,Mature Epithelial_Community
7340.0,3948.0,Mature Epithelial_Community
8174.0,5639.0,Mature Epithelial_Community
4812.0,1171.0,Adaptive Immune Enriched_Community
7309.0,3284.0,Mature Epithelial_Community
6982.0,2927.0,Mature Epithelial_Community
5228.0,1382.0,Plasma Cell Enriched_Community
7345.0,5818.0,Mature Epithelial_Community
5415.0,1286.0,Plasma Cell Enriched_Community
6866.0,6424.0,Plasma Cell Enriched_Community
6007.0,1509.0,CD8+ T Enriched IEL_Community
4906.0,192.0,Plasma Cell Enriched_Community
6956.0,2829.0,Mature Epithelial_Community
2198.0,373.0,Stroma_Community
7545.0,5777.0,Mature Epithelial_Community
8860.0,8205.0,CD66+ Mature Epithelial_Community
7173.0,4391.0,Mature Epithelial_Community
7026.0,1771.0,Mature Epithelial_Community
7944.0,3498.0,Mature Epithelial_Community
6837.0,5544.0,Plasma Cell Enriched_Community
6600.0,1998.0,Mature Epithelial_Community
6883.0,1891.0,Mature Epithelial_Community
7539.0,6011.0,Mature Epithelial_Community
8070.0,3513.0,Mature Epithelial_Community
7895.0,7776.0,Mature Epithelial_Community
7652.0,6227.0,Mature Epithelial_Community
8690.0,7353.0,Mature Epithelial_Community
7515.0,8270.0,CD8+ T Enriched IEL_Community
7521.0,6652.0,Mature Epithelial_Community
7464.0,4625.0,Mature Epithelial_Community
7585.0,6672.0,Mature Epithelial_Community
4327.0,54.0,Adaptive Immune Enriched_Community
6824.0,2636.0,Mature Epithelial_Community
5893.0,1351.0,CD8+ T Enriched IEL_Community
7813.0,5453.0,Mature Epithelial_Community
8209.0,6366.0,Mature Epithelial_Community
5814.0,3886.0,Adaptive Immune Enriched_Community
7517.0,6665.0,Mature Epithelial_Community
7784.0,4366.0,Mature Epithelial_Community
7990.0,6567.0,Mature Epithelial_Community
6456.0,2588.0,CD8+ T Enriched IEL_Community
6899.0,1161.0,Mature Epithelial_Community
5812.0,1171.0,Mature Epithelial_Community
7402.0,5829.0,Mature Epithelial_Community
5732.0,3321.0,Plasma Cell Enriched_Community
7844.0,4204.0,Mature Epithelial_Community
7918.0,6272.0,Mature Epithelial_Community
8974.0,6954.0,CD66+ Mature Epithelial_Community
6125.0,2617.0,CD8+ T Enriched IEL_Community
6499.0,5531.0,Plasma Cell Enriched_Community
3952.0,4163.0,Stroma_Community
7477.0,6280.0,Plasma Cell Enriched_Community
7185.0,7460.0,Secretory Epithelial_Community
7684.0,7806.0,Plasma Cell Enriched_Community
8917.0,7140.0,CD66+ Mature Epithelial_Community
7337.0,3307.0,Mature Epithelial_Community
6483.0,3939.0,Plasma Cell Enriched_Community
4955.0,3940.0,Stroma_Community
7139.0,4637.0,Mature Epithelial_Community
6127.0,3093.0,CD8+ T Enriched IEL_Community
8061.0,6389.0,Mature Epithelial_Community
5998.0,1323.0,CD8+ T Enriched IEL_Community
7382.0,7143.0,Plasma Cell Enriched_Community
7592.0,6656.0,Mature Epithelial_Community
7928.0,6227.0,Mature Epithelial_Community
6275.0,1440.0,Mature Epithelial_Community
8509.0,6042.0,Mature Epithelial_Community
5774.0,116.0,Mature Epithelial_Community
5999.0,2467.0,CD8+ T Enriched IEL_Community
5736.0,358.0,Mature Epithelial_Community
5658.0,217.0,Mature Epithelial_Community
7054.0,2915.0,Mature Epithelial_Community
8493.0,8708.0,Mature Epithelial_Community
6071.0,3174.0,CD8+ T Enriched IEL_Community
7699.0,6493.0,Mature Epithelial_Community
6136.0,2940.0,CD8+ T Enriched IEL_Community
7483.0,4303.0,Mature Epithelial_Community
6828.0,2678.0,Mature Epithelial_Community
8169.0,8505.0,Mature Epithelial_Community
6354.0,1544.0,Mature Epithelial_Community
6907.0,2601.0,Mature Epithelial_Community
7311.0,2843.0,Mature Epithelial_Community
6429.0,8055.0,Stroma_Community
8097.0,8383.0,Mature Epithelial_Community
7661.0,8358.0,Plasma Cell Enriched_Community
6115.0,1941.0,CD8+ T Enriched IEL_Community
7676.0,8685.0,Plasma Cell Enriched_Community
6389.0,2916.0,CD8+ T Enriched IEL_Community
7320.0,3340.0,Mature Epithelial_Community
7118.0,5211.0,CD8+ T Enriched IEL_Community
8170.0,5756.0,Mature Epithelial_Community
7811.0,7268.0,Mature Epithelial_Community
7268.0,2675.0,Mature Epithelial_Community
5993.0,2429.0,CD8+ T Enriched IEL_Community
5981.0,561.0,Mature Epithelial_Community
4729.0,7361.0,Stroma_Community
6444.0,5379.0,Plasma Cell Enriched_Community
7161.0,2872.0,Mature Epithelial_Community
6209.0,1892.0,CD8+ T Enriched IEL_Community
5205.0,690.0,Plasma Cell Enriched_Community
6147.0,4725.0,Adaptive Immune Enriched_Community
5607.0,2058.0,Plasma Cell Enriched_Community
6898.0,5598.0,Plasma Cell Enriched_Community
5805.0,644.0,Mature Epithelial_Community
7002.0,3302.0,Mature Epithelial_Community
7407.0,5594.0,Mature Epithelial_Community
6841.0,4823.0,Mature Epithelial_Community
7925.0,8600.0,Mature Epithelial_Community
7535.0,5706.0,Mature Epithelial_Community
5810.0,3031.0,Plasma Cell Enriched_Community
7165.0,3638.0,Mature Epithelial_Community
6579.0,4462.0,Mature Epithelial_Community
6740.0,4458.0,Mature Epithelial_Community
7176.0,6603.0,Mature Epithelial_Community
7038.0,3575.0,Mature Epithelial_Community
8095.0,6747.0,Mature Epithelial_Community
7681.0,8700.0,Plasma Cell Enriched_Community
812.0,8774.0,Smooth Muscle_Community
8069.0,3467.0,Mature Epithelial_Community
8039.0,478.0,CD66+ Mature Epithelial_Community
6911.0,6624.0,Plasma Cell Enriched_Community
7899.0,5311.0,Mature Epithelial_Community
6976.0,3948.0,CD8+ T Enriched IEL_Community
6978.0,3092.0,Mature Epithelial_Community
8142.0,8498.0,Mature Epithelial_Community
6060.0,849.0,Mature Epithelial_Community
8256.0,8487.0,Mature Epithelial_Community
7995.0,6831.0,Mature Epithelial_Community
7305.0,3995.0,Mature Epithelial_Community
7762.0,6986.0,Mature Epithelial_Community
6812.0,3863.0,Mature Epithelial_Community
7986.0,8424.0,Mature Epithelial_Community
6377.0,1555.0,Mature Epithelial_Community
6971.0,2238.0,Mature Epithelial_Community
8006.0,7159.0,Mature Epithelial_Community
8214.0,8201.0,Mature Epithelial_Community
5120.0,69.0,CD8+ T Enriched IEL_Community
7244.0,3599.0,Mature Epithelial_Community
6925.0,2642.0,Mature Epithelial_Community
8342.0,4726.0,Mature Epithelial_Community
6904.0,3730.0,Innate Immune Enriched_Community
6563.0,2020.0,Mature Epithelial_Community
7786.0,5476.0,Mature Epithelial_Community
5882.0,610.0,Mature Epithelial_Community
8051.0,6728.0,Mature Epithelial_Community
5956.0,1497.0,CD8+ T Enriched IEL_Community
6440.0,4104.0,Plasma Cell Enriched_Community
7382.0,5289.0,CD8+ T Enriched IEL_Community
7785.0,92.0,CD66+ Mature Epithelial_Community
